cim	fajta	lap	szakasz	sor	mit
0x00400000	?	kollazs-eletciklus.md	111. 26. K2 LEZÁRVA, K1 pedig KIMERÍTŐ NEGATÍVOT kapott — a felhős dekompiláció (2026-09-07, #1412)	2511	10 160 456 bájt; Ghidra **12.1.2**, image base \`0x00400000\`.*
0x00400000	?	picasa-beepitett-webszerver.md	(dokumentum eleje)	11	Bizonyíték-alap: \`Picasa3.exe\`, image base \`0x00400000\`.
0x00400000	?	picasa-create-features.md	22. 2.3/b A SZÖVEGES DIA fülének MŰKÖDÉSE — a 11 stílus mellé a többi vezérlő (2026-09-02)	1887	(2.6/c).
0x00400000	?	picasa-create-features.md	27. 2.5/c Az „Opciók" fül és a KLIPTÁLCA — MŰKÖDÉS (2026-09-02)	2146	image base \`0x00400000\`.*
0x00400000	?	picasa-create-features.md	30. 2.6/c A „Mozgófilm létrehozása" gomb — MI KÉSZÜL, HOVA, MILYEN NÉVEN (2026-09-02)	2481	Minden cím a \`Picasa3.exe\` 3.9-es változatáé, image base \`0x00400000\`.
0x00400000	?	picasa-effekt-feliratok.md	2. A feloldás az EXE-ben van, és részben effektfüggő (#709)	27	(image base \`0x00400000\`, Picasa 3.9.141.259,
0x00400000	?	picasa-helyek-panel.md	(dokumentum eleje)	8	Bizonyíték-alap: \`Picasa3.exe\` (image base \`0x00400000\`), a telepítő saját
0x00400000	?	picasa-ini-format.md	12. Az ÍRÓ két függvénye — és egy kulcs→alapérték tábla (2026-09-02)	296	Minden cím a \`Picasa3.exe\` 3.9-é, image base \`0x00400000\`.*
0x00400000	?	picasa-ini-format.md	13. A LEGACY `crop=` alak — és hogy a Picasa 3 MIGRÁLJA (2026-09-02)	558	átalakítja.
0x00400000	?	picasa-ini-format.md	59. A stílusblokk mezői — a SZÖVEG-ESZKÖZ vezérlőiből azonosítva (2026-09-02)	1729	lezárnak.
0x00400000	?	picasa-mappanezet.md	(dokumentum eleje)	4	(image base \`0x400000\`) vagy fájl+sor.*
0x00400000	?	picasa-menu-parancsok-viselkedes.md	268. 58.5 ⭐ MIT ÍR — a célmappa, a fájlnév és a sorszámozás (2026-09-02)	4299	image base \`0x00400000\`.*
0x00400000	?	picasa-metaadat-tulajdonsagok.md	12. 9. ⛳ Az OBJEKTÍV-tábla: KÉT tábla, KÉT rekordalak (2026-09-15, #3121)	394	\`0x008da958\`–\`0x008dfd0c\` (fájl-offszet; VA = \`+0x400000\`), a Nikon
0x00400000	függvény	picasa-native-filter-workers.md	8. A Glimmer-oldal még nyitva	158	(10 160 456 bájt, PE32/x86, image base \`0x00400000\`).
0x00400000	?	picasa-szinkereses.md	(dokumentum eleje)	3	*Picasa 3.9.141.259, mérve 2026-08-26.
0x00400000	?	picasa-szinkereses.md	12. 7. Bizonyítottsági fok	217	PE image base \`0x400000\`) — nem a spec szövegéből dolgozott.
0x00400000	?	ui-audit-editor.md	(dokumentum eleje)	49	> \`0x00400000\`).
0x00400000	?	ui-audit-editor.md	18. 3.3 Az „alkalmazva" jelvény (`fx%d_adorn`)	511	(image base \`0x00400000\`):
0x00400000	függvény	ui-audit-mainwindow.md	11. 1.7 A fanézet parancsai és beállításkulcsa — a #702 három kérdése	357	A hivatkozott függvénycímek a \`Picasa3.exe\` image-base 0x00400000-hoz
0x00400000	?	ui-lefedettseg.md	6. `makemoviepanel` — 49 hiány · panel-megfeleltetés: `parositva`	189	- \`render\` „Create Movie” (magyarul: „Mozgófilm létrehozása”) — 🔧 **lekutatva**, csak nem megépítve (picasa-create-…
0x00401000	adat	kollazs-eletciklus.md	89. 22.1 ⭐ A `lea`-alakú közvetett írás — KIMERÜLT, pozitív kontrollal	2113	\| \`0x00860032\` → \`0x0086003e\` \`mov [edi], ebp\` \| hivatkozásszámlált **sztring** értékadás (\`cmp [esi+0x2c],e…
0x00401000	?	kollazs-eletciklus.md	164. 34.1 A MENTÉSI ág — a metszet ÜRES	3537	A fa 1.
