# A parancsazonosito oszlop 2026-09-01-en VISSZAKERULT (#1581).
# A ket korabbi gepi kinyeres azert bukott meg, mert a fordito a menurekord
# +0x04..+0x10 mezoit a KOVETKEZO rekord feliratanak betoltese UTAN irja ki:
# a push "<kulcs>" es a ra kovetkezo mov word ptr [...+0x0a] NEM tartozik ossze.
# A javitott horgony a rekord KEZDOCIME: mov dword ptr [REK], eax (#1409).
# KONTROLL: 13 fuggetlenul ismert azonositobol 13 egyezik, 0 ter el.
# URES cella ket okbol lehet:
#   (a) a bajtminta nem rajzolodott ki hianytalanul -> nem talalgatunk;
#   (b) a felirat-kulcsot TOBB parancs is hasznalja. A kulcs a FELIRATOT
#       nevezi meg, nem a parancsot: eMenuView::ID_VIEW_BW harom kulonbozo
#       menuben harom kulonbozo azonositoval szerepel.
# Kinyero: scripts/binaris/menu_parancsazonositok.py
# Reszletek: picasa-menu-leltar.md 7. szakasz.
menu,parancs,felirat_en,felirat_hu,parancsazonosito
CMenuBar,Delete,Delete,Törlés,
CMenuBar,Enter,Enter,Enter,
CMenuBar,Enter,Enter,Enter,
CMenuBar,Enter,Enter,Enter,
eMenuCreate,ID_BURNCD,Create a &Gift CD...,&Ajándék CD készítése...,0x9d51
eMenuCreate,ID_COLLAGEMAKER,&Picture Collage...,&Képkollázs...,0x9d62
eMenuCreate,ID_EXPORT_SENDTOBLOGGER,Publish to &Blogger...,Kö&zzététel a Bloggeren...,
eMenuCreate,ID_POSTER,Make a &Poster...,&Poszter készítése...,0x9d30
eMenuCreate,ID_SCREENSAVER,Add to &Screensaver...,Hozzáadás a &képernyővédőhöz...,0x9d5c
eMenuCreate,ID_WALLPAPER,Set as &Desktop...,Beállítás &háttérképként...,0x9cd2
eMenuCreate,Movies,&Movie,&Mozgófilm,
eMenuCreateMovie,ID_FACES,From Faces in Selection...,A kijelölésben lévő arcokból...,0x9d59
eMenuCreateMovie,ID_FACESRANDOM,From People Albums...,Az Emberek albumból...,0x9d5a
eMenuCreateMovie,MOVIE,From Selection...,Kijelölésből...,0x9d58
eMenuCreateWin,ID_TIVO,&Export to TiVo(r) DVR...,&Exportálás TiVo(r) DVR-re...,0x9d61
eMenuEdit,ID_ALBUM_SELECTALLPICTURES,Select &All,Az ö&sszes kijelölése,0x9cb8
