panel,allapot,qml_fajlok,megjegyzes
acquirepanel,parositva,PicasaPy/PicasaImportDialog.qml;PicasaPy/ImportSourceDialog.qml;PicasaPy/ImportProgressPanel.qml;PicasaPy/ImportDropArea.qml,"Importáló panel — nálunk párbeszédablak, nem teljes értékű bal oldali panel"
activity,nincs-megfeleltetes,,Töltésjelző pörgettyű a rácson — nálunk nincs külön elem
bigslider,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
brushslider,parositva,PicasaPy/PicasaSlider.qml,Ecsetméret-csúszka (retusálás)
burstslider,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
buttonmgr,nincs-megfeleltetes,,Gombsáv-testreszabó párbeszéd — nincs nálunk
buzzupload,nem-cel,,"Google Buzz feltöltés — a szolgáltatás megszűnt, nem cél"
canoncapturemoviepanelpopup,nem-cel,,Canon SDK-s kamerafelvétel — nem cél
capturemoviepanelpopup,nincs-megfeleltetes,,Webkamerás videofelvétel — nincs nálunk
choose_mail,nincs-megfeleltetes,,Levelezőprogram-választó párbeszéd — nincs nálunk
collab,nem-cel,,"Picasa Web Albums közös album — a szolgáltatás megszűnt, nem cél"
collagepanel,parositva,PicasaPy/CreateDialogs.qml;PicasaPy/CollagePanel.qml;PicasaPy/CollagePanelTabBar.qml;PicasaPy/CollagePanelTabButton.qml;PicasaPy/CollageSettingsTab.qml;PicasaPy/CollageClipsTab.qml;PicasaPy/CollageActionRow.qml;PicasaPy/CollageZOrderColumn.qml;PicasaPy/CollageSnapColumn.qml;PicasaPy/CollageRandomRow.qml;PicasaPy/CollageContextMenus.qml;PicasaPy/CollageCanvas.qml;PicasaPy/CollageFormatMenu.qml;PicasaPy/CollageThemePopup.qml;PicasaPy/CollageBorderPicker.qml;PicasaPy/CollageBackgroundBox.qml;PicasaPy/CollageNode.qml;PicasaPy/CollageGroupNode.qml;PicasaPy/CollageSheet.qml;PicasaPy/CollageRing.qml;PicasaPy/CollageProgressOverlay.qml;PicasaPy/CollageDialogs.qml;PicasaPy/CollageDraftDialog.qml;PicasaPy/CollageDoneNotice.qml,"A kollázs-szerkesztő panel MEGVAN (2026-08-31 mérés): 23 Collage*.qml. A korábbi sor egyetlen fájlra mutatott és azt írta, hogy nincs interaktív szerkesztő — ez ELAVULT volt, és a panel mind a 36 elemét hiánynak jelezte."
compose_mail,nincs-megfeleltetes,,"Levélszerkesztő panel — nálunk a küldés Python-oldali, saját felület nélkül"
compose_share,nincs-megfeleltetes,,Megosztási meghívó szerkesztő — nincs nálunk
durationslider,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
editoneup,parositva,PicasaPy/PhotoViewer.qml,Egyképes nézet szerkesztés közben
editpanel,parositva,PicasaPy/EditorPanel.qml;PicasaPy/EditorTabBar.qml;PicasaPy/EditorTabCommonFixes.qml;PicasaPy/EditorFinetunePanel.qml;PicasaPy/EditorEffectsTab1.qml;PicasaPy/EditorEffectsTab2.qml;PicasaPy/EditorEffectsTab3.qml;PicasaPy/EditorEffectsTab4.qml;PicasaPy/EditorLegacyTab.qml;PicasaPy/EditorCropPanel.qml;PicasaPy/EditorRedeyePanel.qml;PicasaPy/EditorRetouchPanel.qml;PicasaPy/EditorParamPanel.qml;PicasaPy/EditorDialogs.qml;PicasaPy/EditTabButton.qml;PicasaPy/EditTabIcon.qml;PicasaPy/CropOverlay.qml;PicasaPy/HistogramBox.qml;PicasaPy/AddCustomAspectRatioDialog.qml;PicasaPy/EditOverwriteDialog.qml;PicasaPy/BatchEditProgressPanel.qml;PicasaPy/ToolTile.qml,A szerkesztő teljes bal oldali panelje minden fülével
editpanelactivity,nincs-megfeleltetes,,Belső töltésjelző a szerkesztőben — nincs külön elemünk
editslider1,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
editslider2,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
editslider3,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
editslider4,parositva,PicasaPy/PicasaSlider.qml,Közös csúszka-komponens
edittextpanel,parositva,PicasaPy/EditorTextPanel.qml;PicasaPy/TextColorSwatches.qml,Szöveg-eszköz panelje
faceheaderpanel,parositva,PicasaPy/LightboxHeader.qml;PicasaPy/UnnamedFacesView.qml;PicasaPy/FacesOverlay.qml;PicasaPy/PeopleAlbumContextMenu.qml,Névvel ellátott arc-album fejléce
